,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
1097,Žvėrynas,Studentų g.,300,"16,67",1,18,3,5
1098,Žvėrynas,Latvių g.,420,"10,00",1,42,2,3
1099,Žvėrynas,Latvių g.,330,"12,69",1,26,1,3
1100,Žvėrynas,Latvių g.,290,"17,06",1,17,1,3
1101,Naujamiestis,Savanorių pr.,550,"8,46",2,65,3,8
1102,Naujamiestis,Geležinio Vilko g.,250,"8,33",1,30,1,5
1103,Justiniškės,Justiniškių g.,250,"7,58",1,33,2,9
1104,Senamiestis,Gedimino pr.,1100,"12,94",3,85,4,6
1105,Užupis,Užupio g.,500,"23,81",1,21,1,2
1106,Pilaitė,I. Simonaitytės g.,480,"7,62",2,63,4,4
1107,Baltupiai,Mykolo Sleževičiaus g.,360,"12,00",2,30,3,4
1108,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1109,Antakalnis,Antakalnio g.,250,"5,56",2,45,5,5
1110,Žirmūnai,Tuskulėnų g.,500,"7,14",3,70,6,12
1111,Šnipiškės,Tuskulėnų g.,499,"6,93",3,72,6,12
1112,Senamiestis,Gynėjų g.,400,"15,38",1,26,3,9
1113,Naujoji Vilnia,Parko g.,350,"5,56",2,63,3,3
1114,Žvėrynas,Stirnų g.,850,"8,42",3,101,1,4
1115,Žvėrynas,Stirnų g.,850,"8,42",3,101,1,4
1116,Senamiestis,Klaipėdos g.,450,"12,16",1,37,1,3
1117,Naujininkai,Eišiškių pl.,800,"17,02",2,47,1,5
1118,Antakalnis,Antakalnio g.,340,"9,35",2,36.36,2,5
1119,Naujininkai,Šaltkalvių g.,230,"8,52",1,27,5,9
1120,Šnipiškės,Kalvarijų g.,280,"13,33",1,21,2,3
1121,Senamiestis,Aušros Vartų g.,820,"14,88",2,55.09,4,4
1122,Senamiestis,Aušros Vartų g.,650,"14,91",2,43.59,4,4
1123,Valakampiai,Svajonių g.,299,"7,87",1,38,2,3
1124,Naujamiestis,Savanorių pr.,550,"8,46",2,65,3,8
1125,Senamiestis,Šv. Stepono g.,510,"11,33",2,45,2,3
1126,Karoliniškės,Loretos Asanavičiūtės g.,200,"6,06",1,33,7,9
1127,Senamiestis,Liepkalnio g.,300,"14,29",1,21,1,2
1128,Senamiestis,Liepkalnio g.,300,"14,29",1,21,1,2
1129,Naujamiestis,A. Vivulskio g.,600,"9,52",3,63,7,9
1130,Žvėrynas,Pieninės g.,585,"10,98",2,53.3,6,6
1131,Senamiestis,Gedimino pr.,1350,"12,05",3,112,5,5
1132,Senamiestis,Gedimino pr.,1350,"12,05",3,112,5,5
1133,Pašilaičiai,Justiniškių g.,450,"7,32",2,61.51,3,6
1134,Naujamiestis,Kauno g.,700,"10,45",2,67,7,7
1135,Senamiestis,Gedimino pr.,1350,"12,05",3,112,4,5
1136,Žirmūnai,Kareivių g.,200,"6,06",1,33,3,5
1137,Žvėrynas,Malonioji g.,2000,"19,42",3,103,1,3
1138,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1139,Antakalnis,M. K. Oginskio g.,1100,"10,38",4,106,2,3
1140,Antakalnis,M. K. Oginskio g.,1100,"10,38",3,106,2,3
1141,Užupis,Polocko g.,1400,"18,92",3,74,1,3
1142,Naujamiestis,Mindaugo g.,500,"12,50",2,40,1,4
1143,Senamiestis,M. Daukšos g.,1700,"13,08",4,130,4,4
1144,Senamiestis,M. Daukšos g.,1700,"13,08",4,130,4,4
1145,Senamiestis,Gedimino pr.,750,"11,03",3,68,4,6
1146,Šnipiškės,Rinktinės g.,600,"11,11",2,54,1,6
1147,Šnipiškės,Rinktinės g.,1000,"18,87",3,53,5,5
1148,Užupis,Peteliškių g.,1500,"15,07",4,99.56,4,5
1149,Antakalnis,Peteliškių g.,1500,"15,07",4,99.56,4,5
1150,Lazdynėliai,Jonažolių g.,330,"9,62",1,34.3,3,7
1151,Užupis,Olandų g.,279,"7,34",2,38,2,5
1152,Užupis,Olandų g.,280,"7,37",2,38,2,5
1153,Žirmūnai,Tuskulėnų g.,290,"7,25",1,40,9,9
1154,Naujininkai,Kapsų g.,230,"10,00",1,23,1,5
1155,Pilaitė,Vydūno g.,270,"7,71",1,35,1,9
1156,Naujamiestis,Aguonų g.,599,"6,31",3,95,3,5
1157,Senamiestis,Šv. Mikalojaus g.,850,"14,66",2,58,3,3
1158,Žirmūnai,Minties g.,360,"8,18",2,44,4,5
